,label,text
24,1,"After losing the 1994 election to Mr.
Chiles, he prevailed in the 1998 governor’s race against Buddy MacKay, Mr.
Chiles’s lieutenant governor, and in his 2002 re-election race against Bill
McBride, a lawyer."
25,1,"In many ways, Mr. Bush’s general election debates against Mr. MacKay
are a model for how he might treat Mr. Trump in the long term."
26,1,"Mr. MacKay
set aside his usual regal bearing and relentlessly attacked Mr. Bush as an
inexperienced, untrustworthy child of privilege."
27,1,"Mr. Bush’s strategy was
simple: deftly defend himself, sow doubts about his rival, but avoid excessive
confrontation to magnify Mr. MacKay’s smoldering temper."
28,1,"In a 1998 debate, when he was asked about his business dealing with a
Nigerian corporation, Mr. Bush pivoted to discuss a controversial investment
that had earned Mr. MacKay $500,000."
29,1,"But instead of mocking it, he
suggested, generously, that there was nothing scandalous about the profit."
30,1,"“I’m happy that the MacKay family made half a million bucks on a good
investment,” Mr. Bush said, “I don’t see anything wrong with that."
31,1,"I applaud
you for doing that.”
Mr. MacKay looked slightly dazed."
32,1,"Seventeen years later, Mr. MacKay said he had miscalculated."
33,1,"“I expected
him to be more negative than he was,” he said in an interview last week."
34,1,"“I may
have been too negative myself, as a matter of fact.”
In the same debate, Mr. Bush showed unexpected humility when asked
about his relationship with Florida’s black voters, who had flocked to his
opponent four years earlier."
35,1,"“Republicans have ignored the black vote in this
state, and I was part of that, and it was a mistake,” Mr. Bush said."
36,1,"His tendency to cram as much information as possible into an answer has
diminished since 1994, when he became entangled in a long-winded
explanation of a real estate transaction."
37,1,"He described a maze of leases “we had
to assume,” a debt “borrowed by an investor in the deal” and “specific
obligations.”
But the habit resurfaces now and then."
38,1,"“His mind rebels against the oversimplification that passes for
succinctness in the television debate,” said Mr. Stipanovich, the 1994 adviser."
39,1,“Instinctively he finds it incomplete and unsatisfying.
40,1,"So he over-answers.”
As Mr. BAs Mr. Bush prepares for brawl with Mr. Trump, that 1994
debate against the wily Mr. Chiles looms larger than ever, a searing lesson
about the dangers of taking on an unpredictable opponent."
41,1,"Midway through that face-off, which seemed like an agonizing draw, Mr.
Bush, the newcomer, suggested that Mr. Chiles, the incumbent, had lied to
“strike fear in the hearts of the voters.”
Mr. Chiles stood silently, resting an elbow on the lectern and taking it all
in."
42,1,"Then, peering over at Mr. Bush and jabbing his finger, Mr. Chiles delivered
an unscripted line about himself that changed the course of the campaign."
43,1,"“I want to call attention to this old, liberal liar,” Mr. Chiles said selfmockingly,
pausing for effect."
44,1,"“The old he-coon walks just before the light of
day.”
The camera captured a seemingly baffled Mr. Bush looking around the
room and then toward the moderator, NBC’s Tim Russert."
45,1,"Neither candidate’s
aides had any idea what Mr. Chiles meant."
46,1,"But across the state, an entire
generation of native Floridians understood."
47,1,"The he-coon is the oldest and wisest member of a raccoon pack, a cunning
hunter who knows exactly when to strike."
48,1,"Mr. Chiles used the old Southernism
to make it clear: He was not done being governor yet."
49,1,"“Jeb was speechless,” Mr. Stipanovich recalled."
50,1,"“He didn’t know how to
respond.”
“At that moment,” he said, “Lawton Chiles defeated Jeb Bush.”ush prepares for a televised brawl with Mr. Trump, that 1994
debate against the wily Mr. Chiles looms larger than ever, a searing lesson
about the dangers of taking on an unpredictable opponent."
51,1,"Midway through that face-off, which seemed like an agonizing draw, Mr.
Bush, the newcomer, suggested that Mr. Chiles, the incumbent, had lied to
“strike fear in the hearts of the voters.”
Mr. Chiles stood silently, resting an elbow on the lectern and taking it all
in."
52,1,"Then, peering over at Mr. Bush and jabbing his finger, Mr. Chiles delivered
an unscripted line about himself that changed the course of the campaign."
53,1,"“I want to call attention to this old, liberal liar,” Mr. Chiles said selfmockingly,
pausing for effect."
54,1,"“The old he-coon walks just before the light of
day.”
The camera captured a seemingly baffled Mr. Bush looking around the
room and then toward the moderator, NBC’s Tim Russert."
55,1,"Neither candidate’s
aides had any idea what Mr. Chiles meant."
56,1,"But across the state, an entire
generation of native Floridians understood."
57,1,"The he-coon is the oldest and wisest member of a raccoon pack, a cunning
hunter who knows exactly when to strike."
58,1,"Mr. Chiles used the old Southernism
to make it clear: He was not done being governor yet."
59,1,"“Jeb was speechless,” Mr. Stipanovich recalled."
60,1,"“He didn’t know how to
respond.”
“At that moment,” he said, “Lawton Chiles defeated Jeb Bush.”"
61,1,"WASHINGTON — When Carly Fiorina found herself relegated to the “undercard” for
the first Republican primary debate this month, she seized the opportunity to stand
out."
62,1,"Clad in a bright pink suit, the only woman in a sea of men, she delivered a
forceful performance that catapulted her into the national spotlight and generated a
bounce in public polls."
63,1,"But Mrs. Fiorina, the former Hewlett-Packard executive, wants to be on the main
stage at the second Republican debate next month."
64,1,"And she is waging a public war
with both CNN, which is hosting the debate, and the Republican National Committee,
which her campaign accused on Wednesday of “rigging the game” to keep her out of
the prime-time event."
65,1,"CNN, which released its debate criteria in May, is planning to use an average of
public polls dating to mid-July to determine which 10 candidates will appear in the
main debate."
66,1,"Because that calculation would include many surveys that were done before the
first debate, in which Mrs. Fiorina delivered a strong performance, it would not fully
capture her gains in recent polls, some of which show her near the top of the
Republican field."
67,1,"Recognizing that Mrs. Fiorina may be excluded from the debate, costing her
crucial exposure and dampening fund-raising efforts, her campaign has sought to
turn the likely snub into a public relations victory in an effort to win her sympathy
and attract support from anti-establishment Republicans."
68,1,"The dispute with CNN and the Republican National Committee, which awarded
the debate to the network, allows Mrs. Fiorina to emphasize her outsider status, in a
category with Donald J. Trump and the retired surgeon Ben Carson, both of whom are
winning over voters in part because they are not career politicians."
69,1,"Asked about her battle over the debate criteria at a packed event in Cushing,
Iowa, on Wednesday night, Mrs. Fiorina pointedly criticized the network and the
party."
70,1,"“Let’s forget that I’m a woman,” Mrs. Fiorina, who is the only female Republican
candidate, said when asked about the debate."
71,1,"“I’m in the top five in every state poll
and the top 10 in national polls."
72,1,So what does that say about CNN and the R.N.C.
73,1,"?”
She continued: “I’m going to keep doing what I’ve been doing, coming out here
and talking to voters."
74,1,"As people get to know me, they support me."
75,1,"And you see that in
the polls, and you’re going to continue to see that in the polls."
76,1,"I’ll let CNN and the
R.N.C."
77,1,"decide how they look if I’m not on that stage.”
Both CNN and the Republican National Committee have said that since the rules
for the debate were released months ago, all the candidates knew the ground rules,
and it would be improper — and illegal — to change them now."
78,1,"Mrs. Fiorina’s campaign nevertheless called on the committee to push CNN to
change its criteria."
79,1,"“All candidates are aware of the law that the media organizations set the debate
criteria, as the candidates asked,” said Sean Spicer, a spokesman for the committee."
80,1,“CNN released its criteria over four months ago.
81,1,"All candidates were well aware of
what it would take to get into the two segments that CNN is hosting.”
Some Republican strategists said that Mrs. Fiorina could emerge a winner even
by losing a shot at the top-tier debate."
82,1,"“Social media will light up in anger if she is consistently polling at 5 percent —
consistently in the top 10 — and ends up being denied because of a technicality,” said
Frank Luntz, a Republican political consultant and pollster."
83,1,"“Social media is running
this election cycle, and it’s a voice that’s outside and powerful.”
On the other hand, Mrs. Fiorina might not have stood out so much in the first
debate, in Cleveland, if she had been on the stage with the top-polling candidates at
an event that was dominated by Mr. Trump."
84,1,"So there may be an advantage to her to
continue to face the candidates trailing the field."
85,1,"The networks themselves are grappling with how to deal with the large
Republican field."
86,1,"Their criteria need to be fair, but can inadvertently end up excluding
certain candidates, like Mrs. Fiorina, who could be good for ratings."
87,1,"“I am sure Priebus would gladly trade Fiorina for Trump,” said John Feehery, a
Republican strategist, referring to Reince Priebus, the Republican National
Committee chairman."
88,1,"“CNN, of course, wants both because it maximizes the ratings.”
In retrospect, CNN’s criteria for inclusion in its debate seem intended to make it
hard for a second-tier candidate to move up to the first tier — or for a top-tier
individual to be excluded."
89,1,"Unlike Fox News, which hosted the first debate and used the five most recent
national polls to determine who made the cut, CNN is using an average of national
polls released from July 16 to Sept. 10, conducted by 14 pollsters it identified as
meeting its standards."
90,1,"Of the polls that qualify, nine were conducted before the first debate and only two
since then, according to the Fiorina campaign."
91,1,"In both of those postdebate polls, Mrs.
Fiorina was at 5 percent, up from 1 or 2 percent in polls conducted before the first
debate."
92,1,"A New York Times analysis of polls that fit CNN’s criteria found that if the debate
were held today, Mrs. Fiorina would not qualify for the main stage."
93,1,"Not only that, but
if she were to maintain the same level of support she received in the two surveys
conducted after the first debate, she would need 10 additional qualifying polls to be
conducted before the next debate to eclipse Gov."
94,1,"Chris Christie of New Jersey, who is
the last candidate to be included based on his support in an average of qualifying
polls."
95,1,"The Fiorina campaign is arguing that CNN should give more weight to the polls
conducted after the first debate, and it has called on the party to pressure the network
to make the change."
96,1,Some polling experts say that CNN’s formula is misguided.
97,1,"“I think they did not have a pollster at the table when they decided this,” said J.
Ann Selzer, who conducts one Iowa poll."
98,1,"“I think it’s hard to defend, purely from a
math perspective.”
Many Republican strategists lamented the fact that Mrs. Fiorina might not make
the main debate, even as they said it would be wrong for CNN to change its selection
criteria."
99,1,"Using “more recent polls makes sense,” said Newt Gingrich, the former House
speaker and a 2012 Republican presidential candidate."
100,1,"But, he added, “Rigging it to
help or hurt one candidate does not.”
Katie Packer Gage, a partner at Burning Glass, a firm that advises Republicans on
tailoring their messages to women, said that while Ms. Fiorina had gained a lot of
attention and had “made a real impact” on the debate in the Republican Party, she
should not receive any special treatment."
101,1,"“It is unfortunate, but I don’t think the party or the network can change the rules
for any one candidate,” Ms. Packer Gage said."
102,1,“What about the Hispanic candidates?
103,1,The African-American candidate?
104,1,The Indian-American candidate?
105,1,"Should they all
have different rules?"
106,1,"The rules were made ahead of time, and everyone knows them.”"
107,1,"DES MOINES – As the first of more than a dozen presidential candidates to drop
by the Iowa State Fair, Mike Huckabee mixed the serious with the jovial on Thursday,
promising economic growth of 6 percent if elected president, but beginning a speech
with a culinary tip."
108,1,"“Pork chop on a stick,’’ he said."
109,1,"“It’s what’s for lunch, dinner and a snack.’’
Mr. Huckabee, the former governor of Arkansas, also drew laughs with a jab at
Hillary Rodham Clinton."
110,1,"Along with a parade of Republicans who will visit the fair
over the next 11 days, there will also be Democrats, he noted."
111,1,"“Hillary probably is not
going to come,’’ he said."
112,1,"“She’ll email in her appearances.’’
In fact, Mrs. Clinton is scheduled to come to the fair on Saturday."
113,1,"She will not
speak at the political Soapbox on the central artery, for security reasons and, most
likely, the difficulty of managing what would be a huge crowd with potentially many
hecklers."
114,1,"Donald J. Trump, for different reasons, will also avoid the relatively cozy
Soapbox stage during his expected visit on Saturday."
115,1,"(He is also feuding with the
editorial board of The Des Moines Register, which sponsors the Soapbox.)"
116,1,"Mr. Huckabee, the winner of the 2008 Iowa caucuses, who is running as an
economic populist, said 6 percent growth or more — notably upping the ante over Jeb
Bush’s promise of 4 percent growth — would be possible through what he calls the
Fair Tax, a type of national sales tax."
117,1,"Economists have expressed skepticism at Mr.
Bush’s promise of 4 percent growth, so Mr. Huckabee’s 6 percent plan may cause even
more raised eyebrows."
118,1,"Mr. Huckabee said his Fair Tax would encourage businesses to repatriate $11
trillion that they had parked overseas and ignite a national manufacturing boom."
119,1,"“Folks, it’s not enough for us to have an idea and design and create something,” he
said."
120,1,"“We have to make the things that we create.”
Besides delivering one more stump speech, candidates who visit the fair are able
to mingle casually with Iowans and show off a human side not always evident on the
campaign trail."
121,1,"People remember fondly Senator Barack Obama steering a bumper
car with one of his daughters in 2007."
122,1,"Less endearing that year was Fred Thompson, a
Republican candidate who strolled the fair in a pair of Gucci loafers (though Mr.
Thompson claimed the story was apocryphal)."
123,1,"Mr. Huckabee – he wore ostrich cowboy boots, let it be known — also visited the
Iowa Pork Tent, where he viewed a rack of sizzling pork chops just as they were lifted
from a fire."
124,1,One of the cooks asked if he’d like a bite.
125,1,"“Of course I do,’’ Mr. Huckabee said."
126,1,"“You didn’t think I came over here just to
say hi to you.’’
When his wife, Janet, sidled up, Mr. Huckabee asked, “Woman, what do you
want?’’
“Shares,’’ Mrs. Huckabee said."
127,1,"Updated, 9:59 p.m. | Gov."
128,1,"Scott Walker of Wisconsin, whose early glow as a
Republican presidential contender was snuffed out with the rise of anti-establishment
rivals, announced Monday that he was quitting the race and urged some of his 15
rivals to do the same so the party could unite against the leading candidate, Donald J.
Trump."
129,1,"Mr. Walker’s pointed rebuke of Mr. Trump gave powerful voice to the private
fears of many Republicans that the party risked alienating large parts of the electorate
— Hispanics, women, immigrants, veterans, and most recently, Muslims — if Mr.
Trump continued vilifying or mocking them as part of his overtures to angry and
disaffected voters."
130,1,"Still, Mr. Walker’s exit was not a selfless sacrifice: He was running low on
campaign cash, sliding sharply in opinion polls, losing potential donors to rivals and
unnerving supporters with a stream of gaffes, like saying he would consider building a
wall along the Canadian border."
131,1,"Appearing ashen and drained at a brief news conference late Monday in Madison,
Mr. Walker said the Republican presidential field was too focused on “how bad things
are” rather than on “how we can make them better for everyone.” Without naming
Mr. Trump, Mr. Walker issued a plea to fellow candidates to coalesce around a
different Republican who could offer a more “optimistic” vision and guide the party to
a victory next year that, he admitted with sadness in his voice, he could not achieve
himself."
132,1,"“Today I believe that I am being called to lead by helping to clear the field in this
race so that a positive, conservative message can rise to the top of the field,” Mr.
Walker said."
133,1,"“With this in mind, I will suspend my campaign immediately."
134,1,"“I encourage other Republican presidential candidates to consider doing the
same,” he said, “so that the voters can focus on a limited number of candidates who
can offer a positive, conservative alternative to the current front-runner.”
None of Mr. Walker’s rivals appeared poised to take him up on the suggestion of
bowing out, though they expressed surprise he was withdrawing so soon."
135,1,"“Holy cow,”
Senator Ted Cruz of Texas said on Fox News."
136,1,"Mr. Trump, in a Twitter post, was magnanimous: “I got to know @ScottWalker
well — he’s a very nice person and has a great future.”
Mr. Walker’s departure is likely to have little impact given the sprawling field."
137,1,"He
was competing most aggressively in Iowa, which he deemed a must-win state, but he
had fallen from first place to 10th in a recent poll."
138,1,"And Mr. Walker’s message — a tale of conservative triumph over labor unions
and other entrenched Democratic interests in a Midwestern swing state — plainly
failed to connect."
139,1,"He drew support from less than one-half of 1 percent of Republican
primary voters in a recent CNN national poll."
140,1,"And while Mr. Walker had built a loyal but small network of major donors,
including wealthy Republicans like Todd Ricketts — whose father founded TD
Ameritrade — he was never a force in the Republican race for money, running far
behind rivals like former Gov."
141,1,Jeb Bush of Florida and Mr. Cruz.
142,1,"If the demise of Mr. Walker’s campaign emphasizes anything, it is the intense
pressure that candidates are under to raise enormous sums of money not only for
their political operations but also for their “super PACs.”
Mr. Bush raised more than $100 million in the first half of 2015, providing him
with enormous resources to compete in a potentially long and costly nomination fight."
143,1,"Mr. Walker helped raise about $20 million for his super PAC and $6 million more for
a related campaign committee, but Walker advisers were believed to be burning
through cash."
144,1,(His campaign finances will not be made public until mid-October.)
145,1,"The need to raise money has had the effect of turning the traditional state-bystate
nomination fights into national contests, in which candidates need to prove
themselves to donors across the country rather than merely win over voters in the
handful of states that hold the earliest caucuses and primaries."
146,1,"Mr. Walker
increasingly tailored his message for Iowans, taking some sharply conservative stands
on issues like immigration and same-sex marriage that posed problems with
moderates."
147,1,"“In a different era, Governor Walker could have won the nomination if all he had
to worry about was trying to win Iowa, New Hampshire, South Carolina, and
Nevada,” said Matt Moore, the chairman of the South Carolina Republican Party."
148,1,"“But
now that the presidential race has become so nationalized, so early, a candidate can
run into big trouble if they peak too early and can’t show donors and voters
everywhere that they can recapture momentum.”
As recently as this weekend, Mr. Walker was telling supporters like Mr. Ricketts
that he was committed to the race and looking for ways to save money and jump-start
his campaign after a middling performance in Wednesday’s Republican debate."
149,1,"But
advisers said that several factors had been weighing on him for weeks and contributed
to his decision to quit."
150,1,"Mr. Walker was particularly anxious about accumulating a huge campaign debt
that he would struggle for years to pay off unless he won the Republican nomination."
151,1,"Compared with Mr. Trump, Carly Fiorina and Mr. Bush, Mr. Walker is a man of
modest means: His father was a preacher and his mother was a part-time secretary,
and he has earned government salaries for most of his adult life."
152,1,"He was not in a
strong position to lend money to his own campaign, advisers said, nor inclined to do
so."
153,1,"Yet campaign bills were piling up, with some vendors complaining that they had
not been paid on time."
154,1,"Jeff Kaufmann, chairman of the Iowa Republican Party, said
that Mr. Walker was at a disadvantage in a large field of wealthy Republicans who had
personal, family or business connections to wealthy contributors."
155,1,"“Scott Walker was a lot like the typical American in terms of personal finances —
he couldn’t write himself a big check,” Mr. Kaufmann said."
156,1,"“Nothing eats away at a
candidate from average means like anxieties about massive campaign debts.”
Some advisers and donors also complained that Mr. Walker’s campaign manager,
Rick Wiley, had built up a sizable organization in Madison but had devoted too little
money and staffing to crucial field operations."
157,1,"Mr. Wiley did not respond to requests
for comment."
158,1,"Mr. Walker did start off as a particular favorite of prominent Republicans like the
billionaire industrialists Charles G. and David H. Koch, who both believed that Mr.
Walker was a tough, committed conservative who not only took on fights but also won
them, as shown in his success cutting taxes and hobbling labor unions in Wisconsin."
159,1,"Yet if Mr. Walker’s record was inspiring, his abilities as a presidential candidate
were ultimately limited."
160,1,"He had verbal slip-ups almost from the start, like saying he
could defeat the Islamic State because he had won the battle against union leaders at
home."
161,1,"And he came across as flat and lacking in sophistication in the televised
debates."
162,1,"“Scott, for whatever reason, didn’t connect on TV,” said Stan Hubbard, a
Minnesota-based television station owner and a major Walker donor."
163,1,"“And if you
can’t make it on television today in national politics, you’re dead.”
Robert F. List, the former Nevada governor who was chairman of Mr. Walker’s
campaign in the state, said Mr. Walker suffered especially because of the ascent of
charismatic outsider candidates, pointing to Mr. Trump, Mrs. Fiorina and Ben
Carson."
164,1,"“I attribute the difficulty here to the outsiders sucking up oxygen and diluting the
support for the other candidates,” Mr."
165,1,List said.
166,1,"He added that other campaigns had
reached out to solicit his support."
167,1,"“My phone,” Mr."
168,1,"List said, “is ringing.”"
169,1,There will be no more flip jokes about her private email server.
170,1,"There will be no rope lines to
wall off crowds, which added to an impression of aloofness."
171,1,"And there will be new efforts to
bring spontaneity to a candidacy that sometimes seems wooden and overly cautious."
172,1,"Hillary Rodham Clinton declared her campaign for president nearly five months ago, before the
startling rise of Senator Bernie Sanders, the volcanic candidacy of Donald J. Trump and the
very public exploration of another White House run by Vice President Joseph R. Biden Jr."
173,1,"In extensive interviews by telephone and at their Brooklyn headquarters last week, Mrs.
Clinton’s strategists acknowledged missteps — such as their slow response to questions about
her email practices — and promised that this fall the public would see the sides of Mrs. Clinton
that are often obscured by the noise and distractions of modern campaigning."
174,1,They want to show her humor.
175,1,"The self-effacing kind (“The hair is real, the color isn’t,” she said
of her blond bob recently, taking note of Mr."
176,1,Trump.)
177,1,"has played better than her sarcastic retorts,
such as when she asked if wiping a computer server was done “with a cloth.”
They want to show her heart, like the time she comforted former drug addicts in a school
meeting room in New Hampshire."
178,1,"And, to soothe Democrats uneasy about her shaky poll numbers, they want her to relentlessly
contrast herself with Republicans, saying she is at her best when showing willingness to do
battle."
179,1,"“The true game changer is when there’s a personified opponent,” said her communications
director, Jennifer Palmieri."
180,1,"It is not clear whether any of these efforts can help Mrs. Clinton revamp her candidacy and
regain momentum amid persistent questions about her use of a private email server at the State
Department and an electorate in the early nominating states that seems increasingly captivated
by the insurgent candidacy of Mr. Sanders."
181,1,"Previous attempts to introduce Mrs. Clinton’s softer side to voters have backfired amid criticism
that the efforts seemed overly poll tested."
182,1,"This time the strategy will compete with news
coverage on the latest developments over her email."
183,1,"“The same force and energy that is giving a lift to Donald Trump is dooming Hillary Clinton, and
that is authenticity,” said Eric Fehrnstrom, a Republican strategist and former aide to Mitt
Romney."
184,1,“Experience does not matter to them.
185,1,"What matters is you appear genuine.”
Several of Mrs. Clinton’s top strategists, speaking from a corner office at the campaign’s
Brooklyn headquarters with shabby mix-and-match chairs andexpansive views of Manhattan,
repeatedly expressed confidence about Mrs. Clinton’s standing, saying that any candidate,
Republican or Democrat, would love to trade places with her."
186,1,"Still, the landscape beyond does
not seem so sunny, with recent polls showing an increasing number of voters do not trust Mrs.
Clinton or believe she understands their problems."
187,1,"Even as the interview unfolded, one of Mrs. Clinton’s closest advisers, Cheryl D. Mills, prepared
to be questioned by a congressional committee in Washington exploring the 2012 attacks in
Benghazi, Libya."
188,1,"In an ABC News/Washington Post poll released Wednesday, 45 percent of Americans said they
had a favorable impression of Mrs. Clinton and 53 percent said they viewed her unfavorably."
189,1,"That is a weakening since July, when 52 percent had a positive view and 45 percent a negative
one."
190,1,"Robby Mook, Mrs. Clinton’s campaign manager, sought to play down the polls’ findings, saying:
“Even if you accept the ABC poll, our favorability is higher than any Republican.’’
Other changes are in store for the campaign after Labor Day."
191,1,"After a focus group in New
Hampshire last month revealed that voters wanted to hear directly from Mrs. Clinton about her
email practices, she has sought to offer a more contrite tone, though her detractors say she is
still too grudging."
192,1,"(In an interview with The Associated Press on Monday, Mrs. Clinton said she
did not need to apologize for using a private email server."
193,1,"“What I did was allowed,” she said."
194,1,"“It
was allowed by the State Department."
195,1,"The State Department has confirmed that.”)
While Mrs. Clinton’s central message will remain focused on addressing income inequality and
lifting the middle class, she is scrapping the phrase “everyday Americans,” which advisers said
was confusing and did not resonate."
196,1,"(One compared it to the Walmart slogan, “everyday low
prices.”)
Mrs. Clinton will still evoke the joy brought into her life by her granddaughter, Charlotte, but,
given the child’s obvious advantages and privilege, will speak more broadly about building a
better future for all Americans’ children and grandchildren."
197,1,"And former President Bill Clinton, who has had virtually no presence on the campaign trail, will
begin to travel the country to help with fund-raising this fall, with his first event planned for
Chicago on Sept. 17."
198,1,"Democrats have expressed concern that in some ways, the often reserved former first lady,
senator and secretary of state does not seem aligned with the mood of the electorate this cycle,
with voters flocking to anti-establishment firebrands like Mr. Sanders and Mr. Trump."
199,1,"Her
campaign strategists, however, believe voters’
frustration stems from a sense that Washington is not working for them and not necessarily with
the establishment."
200,1,"Ms. Palmieri summed up the theme, repeating a line Mrs. Clinton had first offered last month:
“She said ‘I want to be the president who addresses the problems in the headlines and the ones
that keep you up at night.’’’
Next month contains two big tests for Mrs. Clinton."
201,1,"The first Democratic debate is Oct. 13,
putting her on stage alongside Mr. Sanders and other candidates eager to tangle with her."
202,1,"And
scrutiny of Mrs. Clinton’s private email use will intensify as she prepares to testify before the
House Select Committee on Benghazi on Oct. 22."
203,1,"While many of Mrs. Clinton’s aides still contend that the issues surrounding her email are
overhyped, they also now realize the campaign was too slow to take responsibility for what
happened and explain the intricacies clearly."
204,1,"“Part of this is saying we understand Americans don’t always hear all the facts, and they want to
see their candidates saying they made a mistake and being contrite,’’ said Thomas R. Nides, a
former State Department aide and friend to Mrs. Clinton."
205,1,"The coming months will also be a period of trying to shed her scriptedness, which is not easy for
the policy-driven Mrs. Clinton, who in this campaign can easily be upstaged by the celebrity of
Mr. Trump and the giant crowds attracted by Mr. Sanders."
206,1,"On Thursday, Mrs. Clinton will appear on “The Ellen DeGeneres Show,’’ a prfogram on which
she previously participated in a bowl-off against the host."
207,1,"She is also booked as a guest on “The
Tonight Show” with Jimmy Fallon, and plans to talk extensively with several nontraditional
outlets."
208,1,"The campaign has even tried to make the best out of the private emails released by the
State Department, saying details revealed in the messages, like Mrs. Clinton’s TV preferences
(“The Good Wife” and “Parks and Recreation”) help humanize her."
209,1,"Mrs. Clinton will focus on larger events and backyard parties with supporters that allow her to
show a more informal side, aides said."
210,1,"Still, Democrats add, there is only so much Mrs. Clinton
can do, given her well-known political identity."
211,1,"“At the end of the day, she is the establishment candidate and she just has to figure out how she
wears that,” said Anna Greenberg, a Democratic pollster."
212,1,“It’s something to navigate.
213,1,"You can’t
shed it.”
Asked whether Mrs. Clinton is discouraged by the setbacks she has encountered so far, her
strategists argue that the candidate, having been through her husband’s tumultuous presidential
campaigns and her own failed effort in 2008, always anticipated trying times and occasional
explosions."
214,1,"“She has developed a thick skin and a very good perspective on how campaigns are going to go
and they are long, they are a hard slog and you are going to get attacked,” Ms. Palmieri said."
215,1,"Whether the blueprint her strategists are preparing will be enough to overcome Mrs. Clinton’s
weaknesses is an open question."
216,1,"Some pollsters have pointed to a likability problem with the
former first lady, and, in presidential contests, the more likable candidate typically wins."
217,1,"Still, she is optimistic about her chances and upbeat most of the time, the aides said."
218,1,"Since
declaring her candidacy, Mrs. Clinton has embraced a rigorous diet (when staff members set up
a mouthwatering spread of barbecue after a stop in Arkansas, she chose to eat just a single
tomato), lost significant weight and thrown herself into yoga and weight training, giving her new
energy."
